temperature,RR,RR_low,RR_high
-15,1.1169,1.0937,1.1406
-14,1.1164,1.094,1.1394
-13,1.116,1.0942,1.1382
-12,1.1153,1.0943,1.1367
-11,1.1142,1.094,1.1349
-10,1.1132,1.0936,1.133
-9,1.1115,1.0929,1.1305
-8,1.1099,1.092,1.128
-7,1.1077,1.0908,1.1249
-6,1.1054,1.0893,1.1217
-5,1.1027,1.0875,1.1181
-4,1.0997,1.0854,1.1143
-3,1.0964,1.0828,1.1101
-2,1.0927,1.0799,1.1056
-1,1.0885,1.0765,1.1007
0,1.084,1.0727,1.0956
1,1.0792,1.0685,1.09
2,1.0739,1.0638,1.0841
3,1.0682,1.0588,1.0778
4,1.0622,1.0534,1.0711
5,1.056,1.0478,1.0642
6,1.0496,1.0422,1.0571
7,1.0432,1.0365,1.0499
8,1.0369,1.0309,1.0428
9,1.0307,1.0255,1.0359
10,1.0248,1.0204,1.0292
11,1.0192,1.0156,1.0228
12,1.014,1.0112,1.0169
13,1.0094,1.0073,1.0114
14,1.0054,1.0041,1.0066
15,1.002,1.0015,1.0026
16,0.9994,0.9993,0.9996
17,0.9977,0.9968,0.9986
18,0.997,0.9954,0.9985
19,0.9973,0.995,0.9995
20,0.9987,0.9958,1.0015
21,1.0013,0.9978,1.0048
22,1.0053,1.001,1.0095
23,1.0107,1.0057,1.0156
24,1.0175,1.0117,1.0232
25,1.0257,1.019,1.0324
26,1.0352,1.0276,1.0429
27,1.0461,1.0372,1.055
28,1.0582,1.048,1.0684
29,1.0715,1.0599,1.0832
30,1.0861,1.0729,1.0995
31,1.1018,1.0868,1.117
32,1.1228,1.1052,1.1408
33,1.1446,1.1241,1.1655
34,1.1663,1.1431,1.1901
35,1.188,1.1621,1.2147
36,1.2098,1.181,1.2394
37,1.2315,1.2,1.264
38,1.2532,1.2189,1.2887
39,1.275,1.2379,1.3133
40,1.2967,1.2568,1.3379
41,1.3184,1.2758,1.3626
42,1.3402,1.2947,1.3872
